Line,Brigade,VehicleNumber,Stop,Expected,Actual,LateMins
138,011,2045,1001_02,16:07:00,16:12:50,5.83
138,011,2045,1001_02,16:07:00,16:13:00,6.0
138,011,2045,1001_02,16:07:00,16:13:10,6.17
138,011,2045,1001_02,16:07:00,16:13:10,6.17
138,011,2045,1001_02,16:07:00,16:13:21,6.35
138,011,2045,1001_02,16:07:00,16:13:37,6.62
138,011,2045,1001_02,16:07:00,16:13:49,6.82
138,011,2045,1001_02,16:07:00,16:14:11,7.18
138,011,2045,1001_02,16:07:00,16:14:27,7.45
138,011,2045,1001_02,16:07:00,16:14:27,7.45
138,011,2045,1001_02,16:07:00,16:14:42,7.7
138,011,2045,1001_02,16:07:00,16:14:56,7.93
138,011,2045,1001_02,16:07:00,16:15:05,8.08
138,011,2045,1002_02,16:09:00,16:15:52,6.87
138,011,2045,1002_02,16:09:00,16:16:21,7.35
138,011,2045,1002_02,16:09:00,16:16:21,7.35
138,011,2045,1002_02,16:09:00,16:16:46,7.77
138,011,2045,1002_02,16:09:00,16:16:46,7.77
138,011,2045,1002_02,16:09:00,16:17:04,8.07
138,011,2045,1002_02,16:09:00,16:17:16,8.27
138,011,2045,1002_02,16:09:00,16:17:25,8.42
166,5,1806,1005_18,16:19:00,16:21:39,2.65
166,5,1806,1005_18,16:19:00,16:21:39,2.65
166,5,1806,1005_18,16:19:00,16:21:50,2.83
166,5,1806,1005_18,16:19:00,16:22:13,3.22
166,5,1806,1005_18,16:19:00,16:22:13,3.22
166,5,1806,1005_18,16:19:00,16:22:24,3.4
166,5,1806,1005_18,16:19:00,16:22:48,3.8
166,5,1806,1005_18,16:19:00,16:23:00,4.0
723,01,5984,1015_02,16:13:00,16:14:11,1.18
723,01,5984,1015_02,16:13:00,16:14:29,1.48
723,01,5984,1015_02,16:13:00,16:14:29,1.48
723,01,5984,1016_02,16:15:00,16:17:04,2.07
723,01,5984,1016_02,16:15:00,16:17:19,2.32
723,01,5984,1016_02,16:15:00,16:17:27,2.45
723,01,5984,1016_02,16:15:00,16:17:41,2.68
723,01,5984,1017_02,16:17:00,16:18:41,1.68
723,01,5984,1017_02,16:17:00,16:18:53,1.88
723,01,5984,1018_02,16:19:00,16:20:04,1.07
723,01,5984,1018_02,16:19:00,16:20:16,1.27
126,1,4406,1018_04,15:30:00,16:09:38,39.63
723,01,5984,1019_02,16:21:00,16:22:27,1.45
723,01,5984,1019_02,16:21:00,16:22:48,1.8
723,01,5984,1019_02,16:21:00,16:23:00,2.0
723,01,5984,1019_02,16:21:00,16:23:15,2.25
723,01,5984,1019_02,16:21:00,16:23:25,2.42
723,470,3433,1020_01,16:20:00,16:21:12,1.2
723,470,3433,1020_01,16:20:00,16:21:12,1.2
723,470,3433,1020_01,16:20:00,16:21:37,1.62
723,470,3433,1020_01,16:20:00,16:21:37,1.62
723,470,3433,1020_01,16:20:00,16:21:52,1.87
723,470,3433,1020_01,16:20:00,16:22:12,2.2
723,470,3433,1020_01,16:20:00,16:22:15,2.25
723,470,3433,1020_01,16:20:00,16:22:22,2.37
723,470,3433,1021_01,16:17:00,16:18:27,1.45
723,470,3433,1021_01,16:17:00,16:18:42,1.7
723,470,3433,1021_01,16:17:00,16:18:52,1.87
723,470,3433,1022_01,16:16:00,16:17:02,1.03
723,470,3433,1022_01,16:16:00,16:17:17,1.28
723,470,3433,1022_01,16:16:00,16:17:27,1.45
723,470,3433,1022_01,16:16:00,16:17:38,1.63
723,470,3433,1022_01,16:16:00,16:18:02,2.03
723,470,3433,1022_01,16:16:00,16:18:02,2.03
723,477,5442,1022_02,15:46:00,15:48:15,2.25
723,477,5442,1022_02,15:46:00,15:48:15,2.25
723,477,5442,1022_02,15:46:00,15:48:23,2.38
723,470,3433,1023_01,16:15:00,16:16:20,1.33
723,470,3433,1023_01,16:15:00,16:16:20,1.33
723,477,5442,1023_02,15:48:00,15:50:13,2.22
723,477,5442,1023_02,15:48:00,15:50:27,2.45
723,477,5442,1023_02,15:48:00,15:50:40,2.67
723,477,5442,1023_02,15:48:00,15:50:52,2.87
723,477,5442,1023_02,15:48:00,15:51:00,3.0
723,477,5442,1024_02,15:49:00,15:51:28,2.47
