Lines,Lon,VehicleNumber,Time,Lat,Brigade,v,SpeedingsNearby
182,21.046127,7303,2024-06-20 16:08:30,52.224819,9,50.62716416851117,30.0
143,21.0461501,7857,2024-06-20 16:12:54,52.22485,7,53.4522818336342,30.0
151,21.0474984,7864,2024-06-20 16:00:03,52.2251184,3,56.22377418218893,30.0
151,21.0466799,7841,2024-06-20 15:49:41,52.2249557,07,53.81545478276145,29.0
523,21.047965,5250,2024-06-20 16:17:47,52.225126,13,66.37561003059828,29.0
525,21.0479062,7730,2024-06-20 16:02:28,52.225187,011,57.319268723316085,29.0
141,21.045843,7310,2024-06-20 15:51:02,52.224773,3,63.931016067028196,29.0
143,21.0466101,8855,2024-06-20 16:06:10,52.2249546,6,53.00465879134716,28.0
151,21.0467903,8846,2024-06-20 16:10:32,52.2249655,06,50.1965709129449,28.0
520,21.046591,7322,2024-06-20 16:16:21,52.224937,010,57.33729937945481,28.0
520,21.0474425,7882,2024-06-20 16:06:27,52.225111,8,57.69166719428461,28.0
411,21.0467974,7844,2024-06-20 16:19:16,52.2249765,463,60.15154459888357,28.0
141,21.047819,7310,2024-06-20 15:50:54,52.225182,3,57.472269515447955,28.0
502,21.0467755,7839,2024-06-20 16:15:55,52.224981,462,77.95254024979269,28.0
514,21.046835,7884,2024-06-20 15:50:05,52.224951,2,60.915139613646424,28.0
525,21.0480781,7740,2024-06-20 15:53:25,52.2252201,7,51.57975150577367,28.0
143,21.0466021,7845,2024-06-20 15:56:24,52.2249284,5,54.66656276190859,28.0
151,21.047813,7324,2024-06-20 16:20:17,52.225204,1,55.81775801057146,28.0
138,21.047363,5452,2024-06-20 15:49:02,52.225086,8,86.79445548304456,27.0
192,21.0176922,1026,2024-06-20 15:52:46,52.1591272,06,59.85497663791599,27.0
143,21.047186,7857,2024-06-20 16:12:49,52.2250576,7,56.03212980672284,27.0
525,21.0735804,7885,2024-06-20 16:08:30,52.2318395,319,60.01286863515405,27.0
520,21.0735126,8848,2024-06-20 15:48:19,52.2317793,3,58.31282675842461,27.0
411,21.0471526,8830,2024-06-20 15:51:51,52.2249653,720,62.62084061399154,27.0
709,21.0178267,8346,2024-06-20 16:15:32,52.1592383,1,59.02441745683901,27.0
143,21.0737516,7870,2024-06-20 16:03:55,52.2320054,3,50.65005908154539,27.0
525,21.0471562,7873,2024-06-20 16:18:54,52.2250412,012,51.08657762824336,27.0
182,21.045677,2205,2024-06-20 16:19:14,52.224751,1,75.00462381825082,26.0
523,21.0464,6206,2024-06-20 15:53:47,52.224892,10,74.0737545791064,26.0
151,21.0736304,7851,2024-06-20 15:50:54,52.2318449,04,51.089429935830694,26.0
143,21.0455307,7845,2024-06-20 15:56:28,52.2247162,5,69.02745301268321,26.0
182,21.07365,8576,2024-06-20 15:51:43,52.23188,2,50.311052709757206,26.0
182,21.0473,7303,2024-06-20 16:08:24,52.225063,9,65.06080162077104,26.0
188,21.073942,7319,2024-06-20 15:50:41,52.232048,07,55.90355766416775,26.0
520,21.0736637,7747,2024-06-20 15:53:52,52.2318674,4,52.459475242255266,26.0
502,21.0472731,7754,2024-06-20 16:06:11,52.2250575,1,55.64532040279447,26.0
151,21.0737847,7817,2024-06-20 15:56:03,52.2319339,2,59.67932958840287,26.0
411,21.046285,8396,2024-06-20 15:57:48,52.2249333,03,59.989462786290076,26.0
520,21.0483352,7882,2024-06-20 16:06:23,52.2252935,8,59.85593621696802,26.0
143,21.0735778,8843,2024-06-20 15:52:58,52.2319341,011,70.32166626500263,26.0
520,21.0733711,8850,2024-06-20 16:05:01,52.2316933,011,63.453698515233356,25.0
509,20.9969494,7858,2024-06-20 15:58:47,52.2959732,10,54.015803610711,25.0
188,21.0741906,7838,2024-06-20 15:59:11,52.2325639,4,51.13067330416615,25.0
739,21.017275,9329,2024-06-20 16:18:43,52.158707,3,60.36837879008318,25.0
326,20.996908,9440,2024-06-20 15:52:49,52.295998,3,62.66831152866598,25.0
520,21.0743315,3435,2024-06-20 16:17:29,52.2323481,5,53.207825265783605,25.0
502,21.0744125,7708,2024-06-20 15:56:22,52.2323104,467,53.703971420991884,25.0
143,21.0750361,7732,2024-06-20 16:23:03,52.232791,012,51.843028245322046,25.0
525,21.073397,7753,2024-06-20 16:06:30,52.2320594,8,54.12670281411834,25.0
523,21.074354,2228,2024-06-20 16:12:36,52.232361,714,50.53421196607558,25.0
192,21.017384,1028,2024-06-20 15:50:40,52.157715,1,65.00389416986589,25.0
525,21.0354285,7885,2024-06-20 16:02:07,52.2217942,319,54.55380567117583,25.0
182,21.0748073,7874,2024-06-20 16:11:35,52.2325966,4,59.34409645313803,25.0
523,21.0743305,7889,2024-06-20 16:12:15,52.2322871,16,52.013993679516275,25.0
727,21.017313,8501,2024-06-20 16:08:07,52.159228,04,56.48722024726543,25.0
709,21.0172493,8891,2024-06-20 16:14:38,52.1592153,012,55.75942393743086,25.0
326,20.994457,9415,2024-06-20 16:18:25,52.287136,06,50.89427792797553,24.0
739,21.017294,9328,2024-06-20 16:04:55,52.158581,2,58.34375870431714,24.0
326,20.996881,9415,2024-06-20 16:17:05,52.295998,06,54.83961821465501,24.0
518,20.997478,5977,2024-06-20 16:03:16,52.295849,011,60.09115494337752,24.0
186,20.997246,9904,2024-06-20 16:03:54,52.296078,2,65.18028605042208,24.0
411,21.0353495,8854,2024-06-20 16:12:46,52.2217705,468,63.28160585811639,24.0
502,21.036249,8830,2024-06-20 16:20:14,52.222033,720,57.40189298166055,24.0
188,21.074451,2248,2024-06-20 16:14:08,52.232716,5,59.87009837392346,24.0
509,20.9971963,3421,2024-06-20 16:14:43,52.2957693,12,60.28728725324758,24.0
192,21.017302,1064,2024-06-20 16:23:14,52.158409,2,65.47242289245932,24.0
730,21.1335145,1855,2024-06-20 16:14:53,52.2312516,52,50.87432708600549,24.0
705,20.996876,5421,2024-06-20 15:54:26,52.296009,1,64.31088042370803,24.0
112,20.995714,5418,2024-06-20 16:08:44,52.287682,2,53.271129815844624,24.0
523,21.07394,6206,2024-06-20 15:50:14,52.232426,10,80.5028778231067,24.0
523,21.073828,7225,2024-06-20 16:22:48,52.23233,14,56.41678432517884,24.0
125,21.1333222,7328,2024-06-20 15:57:01,52.2313851,07,60.398762722364445,24.0
182,21.0362179,7745,2024-06-20 16:22:16,52.2219815,6,56.69809996096236,24.0
182,21.0360557,7759,2024-06-20 15:56:28,52.2219357,3,57.702019012053086,24.0
182,21.0749369,7759,2024-06-20 16:06:00,52.2326704,3,66.32704350840731,24.0
502,21.0748811,7861,2024-06-20 16:04:43,52.2326527,719,52.109555468744055,24.0
143,21.074347,8311,2024-06-20 16:12:13,52.2323711,4,51.77827074637606,24.0
705,20.994881,8460,2024-06-20 15:54:58,52.286961,07,59.031217283384365,24.0
504,21.0176617,8523,2024-06-20 16:10:03,52.15836,3,60.895229506187164,24.0
504,21.01767,8546,2024-06-20 15:52:38,52.1584067,2,59.30902967382758,24.0
162,21.03617,8567,2024-06-20 15:56:04,52.2217483,011,82.29159138928468,24.0
331,21.0177302,1990,2024-06-20 16:08:42,52.1585606,04,58.440337148598694,24.0
331,21.017715,1992,2024-06-20 15:54:58,52.158848,03,63.96491509704941,24.0
211,20.997213,9087,2024-06-20 15:54:48,52.296013,2,50.04816365188906,24.0
186,20.996487,9937,2024-06-20 16:06:28,52.296341,11,59.84603431251717,24.0
112,20.995968,5443,2024-06-20 16:06:21,52.287544,7,54.93916159351341,24.0
211,20.997087,9071,2024-06-20 16:13:46,52.295921,3,58.6641314708547,24.0
192,21.0176754,1026,2024-06-20 15:52:52,52.1600712,06,62.984559792991746,23.0
211,20.996696,9087,2024-06-20 15:54:52,52.29652,2,59.79644701400707,23.0
516,20.996458,9446,2024-06-20 16:14:26,52.296474,2,55.778983269211544,23.0
739,21.01774,9329,2024-06-20 15:50:03,52.164078,3,60.787874148765454,23.0
525,21.133391,8802,2024-06-20 16:10:27,52.2315365,1,82.78009031221875,23.0
739,21.017727,1200,2024-06-20 15:53:02,52.157822,07,61.5122850768717,23.0
114,20.995052,9928,2024-06-20 16:06:23,52.287048,5,58.189113265498136,23.0
114,20.99579,9911,2024-06-20 16:18:13,52.287701,2,55.19912318051481,23.0
739,21.017717,9329,2024-06-20 15:49:26,52.158432,3,58.85149734498784,23.0
502,21.1337772,7839,2024-06-20 15:58:58,52.2314194,462,64.95761228405748,23.0
211,20.996452,9078,2024-06-20 16:13:45,52.296429,08,61.5825151193993,23.0
709,21.0177743,8896,2024-06-20 15:53:46,52.1647578,8,50.76703155114702,23.0
414,20.994843,7231,2024-06-20 15:49:23,52.287285,03,64.29770111903674,23.0
518,20.99746,8584,2024-06-20 16:03:12,52.2954483,6,51.55590003109832,23.0
112,20.994164,5443,2024-06-20 16:06:11,52.286728,7,62.74492352215319,23.0
414,20.994908,5212,2024-06-20 16:20:22,52.287288,05,54.782173615782256,23.0
735,20.9977736,3440,2024-06-20 16:19:49,52.295553,62,52.16720030979205,23.0
192,21.017723,1064,2024-06-20 16:10:00,52.158016,2,55.990229364686634,23.0
192,21.017313,1064,2024-06-20 16:23:19,52.157665,2,59.56734849446409,23.0
502,21.0357693,7708,2024-06-20 15:48:49,52.2218311,467,50.39361298467641,23.0
